,x1,x2,x3,x4,x5,x6,x7,x8,class
461,15.01,79.17,11.48,0.87,1.58,2.38,0.79,0.67,0
462,20.11,108.58,12.06,9.9,9.55,4.55,3.1,2.83,1
463,1.98,19.89,7.92,0.79,2.38,3.69,2.38,1.27,0
464,13.5,83.1,9.35,7.27,8.31,4.24,2.69,1.78,1
465,6.24,25.99,4.81,1.3,1.82,1.42,0.71,0.5,1
466,3.17,26.13,4.75,0.95,2.77,3.96,0.65,0.49,0
467,10.39,51.93,7.27,4.15,3.12,2.88,1.28,1.24,1
468,9.87,51.93,6.23,4.15,4.15,2.92,1.87,1.6,1
469,14.89,59.56,9.31,5.21,5.21,3.45,1.55,1.09,1
470,3.26,25.59,5.12,3.02,3.72,1.73,0.52,0.33,1
471,1.94,21.04,3.27,0.58,2.46,2.18,0.44,0.68,0
472,12.46,51.93,7.27,4.15,5.19,3.4,1.89,0.52,1
473,8.31,46.74,7.27,2.08,2.6,2.47,1.98,1.6,1
474,14.89,72.96,8.93,4.47,4.84,2.48,1.22,1.33,1
475,18.7,83.1,9.87,6.23,6.23,3.71,2.31,1.78,1
476,12.46,51.93,7.27,2.6,3.12,1.94,1.7,1.17,1
477,10,60,6.1,3,4.82,3.51,2.99,1.07,1
478,4.15,23.5,4.84,1.38,2.07,1.9,0.88,0.47,1
479,12.46,62.32,7.27,4.88,4.67,3.38,2.07,1.72,1
480,9.17,66.68,8.89,5.56,6.95,1.88,0.67,0.94,0
481,12.43,62.13,8.7,6.21,6.21,3.24,2.36,2.17,1
482,15.42,73.77,8.82,6.37,6.71,3.24,2.24,1.73,1
483,6.48,45.39,6.48,1.95,3.24,3.3,0.93,0.68,1
484,8.78,35.13,4.1,2.34,2.63,1.84,0.91,0.69,1
485,5.73,35.24,5.73,1.76,2.64,1.38,1.41,0.71,1
486,7.5,30,6,3,3.5,1.5,1,1,0
487,2.58,15.02,2.23,1,2,2.38,1.13,1.28,0
488,13.5,51.93,6.34,4.15,4.15,3.31,1.41,0.73,1
489,8.76,36.49,5.11,1.46,1.46,1.75,0.72,0.74,1
490,14.89,67.01,8.93,5.21,5.21,3.54,1.79,1.71,1
491,18.61,70.73,8.93,5.96,5.96,3.67,1.99,1.78,1
492,10.39,41.55,6.44,3.12,3.12,1.9,2.3,1.79,1
493,6.43,42.88,10.72,0.86,3.43,2.14,0.68,0.57,0
495,4.98,32.2,3.66,1.76,1.76,2.07,1.11,0.81,0
496,9.76,47.89,8.52,2.84,5.11,3.18,1.01,1.18,1
497,2.89,10.12,7.95,1.45,2.31,2.17,0.72,0.58,0
498,5.3,26.49,5.03,2.12,1.99,1.49,1.56,0.87,1
499,11.53,34.59,5.96,1.54,1.92,2.54,0.85,0.57,1
500,4.86,80,6.15,2.7,2.7,2.25,0.92,0.74,0
501,5,40,7,2.75,3,2.44,1.33,0.62,0
502,5.49,49.92,7.16,1.91,2.39,3.49,1.16,0.72,1
503,5.53,26.01,8.94,3.25,7.8,2.51,0.96,0.32,1
504,14.41,78.08,8.41,3.9,3.6,2.74,1.62,1.86,1
505,5.71,25.97,4.15,2.08,2.6,1.49,1.81,1.23,1
506,9.87,62.32,10.36,4.93,0.51,3.64,2.25,2.18,0
507,26.42,105.68,15.85,6.87,5.81,4.94,4.36,4.13,1
508,5.3,53.05,6.63,7.96,10.61,4.55,0.72,0.36,1
509,8.05,51.93,10.39,4.15,3.12,2.73,2.99,2.21,0
510,15.67,52.23,11.27,5.22,2.61,3.42,2.43,1.04,0
511,17.65,105.92,14.12,9.14,7.85,4.38,2.47,1.99,1
512,20.49,88.29,10.39,5.19,5.71,3.78,3.1,3.31,1
513,12.67,39.59,19.79,0.79,4.75,6.33,1.06,1.19,0
514,18.75,95.11,8.97,3.25,5,4,1.52,1.28,1
515,3.6,33.76,6.3,2.7,4.5,2.67,1.05,0.84,1
516,17.41,78.34,10.45,7.4,6.96,4.92,2.46,0.94,1
517,3.76,16.09,3.76,2.15,2.74,1.67,0.73,0.3,1
519,3.06,18.36,3.06,9.99,2.45,1.32,0.47,0.16,1
520,1.08,6.78,4.34,0.95,1.08,0.99,0.27,0.21,0
521,5.47,54.72,15.2,4.56,3.04,4.05,2.43,1.22,0
522,25.97,155.8,9.35,7.27,8.31,4.48,4.88,5.77,0
523,1.05,11.78,2.4,1.05,1.05,1.05,0.82,0.7,0
524,12.46,51.93,9.22,2.6,4.15,2.6,1.56,1.21,0
525,7.4,62.9,10.02,2.22,2.97,2.5,1.13,0.99,0
526,15.58,41.55,7.27,0.57,1.25,1.04,1.45,1.04,0
527,12.27,53.17,9.82,3.68,4.5,3.22,2.07,0.83,1
528,2.91,28.81,5,4,2.55,3.41,0.73,0.56,1
529,29,150,15,9,10,5.61,3,2.43,1
530,11.34,88.34,7.36,1.62,2.65,3.42,0.97,0.75,1
531,4.47,29.87,9.99,3.58,2.86,3.12,1.38,1.05,0
532,18.02,72.07,8.1,4.2,5.23,3.35,1.85,1.66,1
533,12,68.33,8.5,3.75,2.36,2.47,1.69,1.56,0
534,16.76,86.87,15.88,8.73,11.38,6.51,3.94,2.45,0
535,28.49,142.45,9.97,4.27,14.25,5.34,5.63,0.68,0
536,27.03,102.1,8.41,6.01,6.01,3.93,2.22,1.6,1
537,3.98,22,5.48,3.5,4.5,2.66,1.33,0.83,0
538,12.95,92.51,12.48,2.22,2.85,3.7,1.86,0.95,0
539,15.2,44,12,9,4.5,2.58,2,1.5,0
540,15.79,58.04,6.31,3.87,4.79,5.67,3.21,1.95,1
541,20.95,104.75,14.67,6.98,6.98,3.91,3.25,2.19,0
543,11.1,64.75,10.18,2.59,3.24,1.85,1.85,1.97,0
544,5.55,92.51,8.33,3.89,3.52,4.44,2.22,1.11,0
545,14.02,51.93,8.31,2.08,3.12,1.74,1.9,1.4,0
546,18.7,83.1,9.35,3.12,4.15,3.01,2.11,1.53,1
547,5.55,60,5.55,1.85,1.85,2.48,1.57,1.49,0
548,23.48,6.57,21.81,1.88,1.88,0.99,1.17,2.08,0
550,26.42,105.68,14.79,5.28,6.34,5.11,4.58,3.35,0
552,15.58,59.23,6.75,4.15,4.52,1.28,2.04,1.04,0
554,9.32,49.71,9.32,3.57,4.19,3.73,2.33,1.55,0
555,1.04,31.16,12.46,1.04,1.04,1.56,1.04,1.04,0
556,10.73,33.53,10.06,5.36,8.05,4.02,1.34,0.84,0
557,14,100,8,3,4,4.83,2,3,0
559,8,170,10,4,4,5,3,3,0
560,2.14,6.12,4.59,1.84,4.59,1.47,0.33,0.12,0
561,3.26,17.7,5.59,1.02,2.14,1.71,0.93,0.39,1
562,5.41,28.88,5.23,2.53,2.53,3.01,0.84,0.63,0
563,15.58,51.93,8.31,4.15,3.64,1.79,1.63,1.03,1
564,2.14,8.57,3.67,1.96,2.69,1.22,0.43,0.15,1
565,2.07,10.81,2.86,2.54,2.86,1.27,0.97,0.35,0
566,1.77,9.72,2.39,0.88,1.24,1.68,0.59,0.35,0
567,6.76,21.64,3.52,1.08,1.49,1.09,0.63,0.43,1
568,9.99,45,8,3,6,4.13,2.17,1.49,1
569,4.72,21.01,6.28,1.83,1.68,2.45,0.46,0.2,0
570,7.78,23.35,4.67,1.56,2.46,2.27,0.67,0.75,0
571,2.65,25.9,3.18,1.41,2.39,2.48,0.6,0.37,1
572,6.03,36.19,4.71,2.45,4.15,3.14,1.38,0.73,0
573,4.33,28.88,3.97,1.66,2.53,1.23,0.72,0.63,0
574,2.79,18.61,5.12,1.95,1.86,1.99,0.45,0.27,1
575,0.98,6.12,3.67,1.84,1.84,0.61,0.22,0.16,0
576,3.26,38.15,5.58,3.26,4.65,1.63,0.87,0.43,1
577,6.23,31.13,6.23,2.02,3.33,2.15,0.8,0.58,1
578,4.13,14.03,3.28,0.83,1,2.49,0.51,0.33,0
579,15,75,10,5,6,4.12,2.18,1.72,1
580,5.78,28.88,4.69,1.8,3.61,2.53,0.87,0.88,0
581,4.46,18.05,3.52,0.81,1.31,1.09,0.49,0.31,0
582,2.56,17.94,4.1,1.28,6.41,2.43,0.86,0.51,0
583,20,80,12,5.5,10,6.75,2.37,2.33,0
584,6.23,18.16,5.97,0.88,2.72,2.28,0.65,0.47,0
585,1.01,13.52,4.73,0.68,0.9,2.25,0.23,0.38,0
586,20,65,10,4,6.5,4.73,2.36,1.95,0
587,1.37,10.81,2.54,2.54,2.86,1.27,0.38,0.22,0
588,7.14,36.32,6.75,2.59,3.5,2.89,0.9,0.72,1
589,3.73,18.63,5.59,1.96,2.61,1.35,1.07,0.63,0
590,12,60,8.14,4,6.5,4.71,2.07,1.59,1
591,7.16,24.25,3.36,3.02,4.52,3.86,1.46,0.78,0
592,3.06,6.12,2.45,1.22,6.12,1.84,0.22,0.18,0
593,5.3,17.68,2.65,1.59,2.65,2.87,1.09,0.71,0
594,5.85,47.23,6.65,1.33,1.86,3.64,0.79,0.31,1
595,9.34,41.51,5.87,2.04,3.11,2.56,1.16,0.96,1
596,15,55,10.29,5,6,5.08,2.2,1.53,1
