,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,class
185,0.56,0.78,0.7,0.44,5.33,0.78,0.96,3.78,0.89,35.54,1.33,0
186,0.71,0.85,0.85,0.46,5.33,0.67,1.11,4,0.84,17.77,1.22,1
187,1.19,1.55,0.97,0.77,5.19,1.52,2.39,5.3,2.44,41.55,4.12,1
188,0.28,0.28,0.28,0.47,4.65,1.02,1.58,3.12,0.37,8.37,0.47,0
189,0.65,1.19,1.02,0.38,3.64,0.87,1.25,5.04,1.25,25.97,2.6,0
190,1.73,0.92,1.28,0.26,5.19,0.55,1.18,6.86,2.39,85.69,3.95,0
191,0.88,0.88,1.1,0.32,4.93,2.26,1.04,10.91,1.45,48.82,2.7,0
192,0.46,0.37,0.71,0.25,6.17,1.53,2.21,1.66,0.32,17.44,0.54,1
193,1.45,1.45,0.9,0.52,4.67,0.84,1.99,5.61,1.09,31.16,4.67,0
194,0.27,0.21,0.27,0.16,6.44,1.38,1.98,1.5,0.43,13.41,0.54,0
195,0.33,0.67,0.78,0.47,4,0.67,1.11,3.94,0.89,21.99,2.22,0
196,0.49,0.53,0.42,0.22,3.61,1.44,0.9,2.13,0.14,7.22,1.08,0
197,1.76,1.56,1.56,0.75,8.31,1.82,2.83,10.39,1.87,46.74,2.08,0
198,0.65,0.77,0.8,0.48,4.22,0.71,1.06,4,0.89,22.22,1.56,0
199,3.09,3.88,2.72,0.56,11.17,1.81,2.48,11.91,2.42,77.43,2.42,1
200,1.73,1.9,1.56,0.69,6.23,1.8,2.13,5.61,1.56,36.35,3.64,1
201,0.55,0.53,0.7,1.08,8,1.64,2.5,2.4,0.3,15,1.25,0
202,2.74,2.03,1.82,1.62,11,3.33,2.25,7.5,2,25,2.8,0
203,0.68,1.58,0.45,0.73,4.51,0.45,0.9,1.35,0.11,11.26,1.13,0
204,2.01,2.21,1.92,1.07,10.37,2.3,2.59,9.08,0.91,55.11,0.65,0
205,0.35,0.4,0.5,0.15,0.76,0.25,1,1.75,0.05,10,0.31,0
206,3.12,0.92,1.4,0.51,5.71,0.55,1.56,7.27,2.67,54.53,4.05,0
207,4.05,3.47,2.02,1.76,8.99,2.44,3.57,7,2,38.5,3.5,0
208,1.33,1.21,1.88,1.51,9.53,1.86,2.95,6,2.86,92.4,6.19,1
209,6.61,4.4,1.66,2,12,2.86,4,10.79,7,30,1.25,0
210,1.31,1.13,0.67,0.43,7.21,1.99,2.16,13.81,3.24,79.88,2.76,1
211,1.06,0.92,0.81,0.62,6.22,1.24,1.78,8.41,4.15,113.22,5.19,1
212,0.65,0.56,0.65,0.65,5.59,0.87,1.57,1.49,0.98,44.72,1.26,0
213,0.68,0.73,0.87,0.92,4.24,1.46,1.46,2.63,1.17,46.84,1,0
214,0.94,0.91,0.83,1.03,6.75,2.25,2.93,4.99,1.45,51.93,4.15,1
215,0.81,0.66,0.77,0.34,6.78,0.84,2.11,4.34,0.14,5.76,0.41,0
216,1.18,1.58,1.22,0.6,5.19,1.61,1.26,5.76,1.56,57.13,4.15,1
217,1.54,2.03,1.11,1.04,7.27,2.17,2.51,10.39,1.77,62.32,2.6,1
218,0.48,0.55,1.66,0.78,7.27,1.14,1.45,4.41,1.04,27.53,1.04,1
219,4.58,4.09,2.19,1.61,11.17,2.8,4.84,11.17,2.7,89.34,2.98,1
220,0.41,0.33,0.53,0.22,5.36,1.38,1.88,1.58,0.38,13.41,0.54,0
